[02.05.2025 23:24:28] 192.168.0.15:63679 -> 213.180.193.234:443, Seq=1403050284, Флаги=16
[02.05.2025 23:24:28] 213.180.193.234:443 -> 192.168.0.15:63679, Seq=813394748, Флаги=16
[02.05.2025 23:24:29] 94.23.69.180:8443 -> 192.168.0.15:64608, Seq=1714152435, Флаги=24
[02.05.2025 23:24:29] 94.23.69.180:8443 -> 192.168.0.15:64608, Seq=1714152481, Флаги=24
[02.05.2025 23:24:29] 94.23.69.180:8443 -> 192.168.0.15:64608, Seq=1714152505, Флаги=17
[02.05.2025 23:24:29] 192.168.0.15:64608 -> 94.23.69.180:8443, Seq=3499731441, Флаги=16
[02.05.2025 23:24:31] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875385103, Флаги=24
[02.05.2025 23:24:31] 192.168.0.15:60242 -> 149.154.167.41:443, Seq=1356115624, Флаги=24
[02.05.2025 23:24:31] 149.154.167.41:443 -> 192.168.0.15:60242, Seq=875385208, Флаги=16
[02.05.2025 23:24:33] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417105, Флаги=24
[02.05.2025 23:24:33] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417525, Флаги=24
[02.05.2025 23:24:33] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412359, Флаги=16
[02.05.2025 23:24:33] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699417961, Флаги=24
[02.05.2025 23:24:33] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699418093, Флаги=24
[02.05.2025 23:24:33] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412359, Флаги=16
[02.05.2025 23:24:34] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699418241, Флаги=24
[02.05.2025 23:24:34] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699418373, Флаги=24
[02.05.2025 23:24:34] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412359, Флаги=16
[02.05.2025 23:24:34] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699418521, Флаги=24
[02.05.2025 23:24:34] 192.168.0.15:64474 -> 192.168.0.8:64511, Seq=699418653, Флаги=24
[02.05.2025 23:24:34] 192.168.0.8:64511 -> 192.168.0.15:64474, Seq=1745412359, Флаги=16
